x	y	yaw
1.78327	0.164879	0.153596	
1.78317	0.164838	0.153599	
1.78317	0.164756	0.153648	
1.78316	0.164674	0.153668	
1.78295	0.164762	0.153584	
1.78307	0.164482	0.153739	
1.78304	0.164699	0.15362	
1.78311	0.164642	0.153627	
1.78315	0.164455	0.15373	
1.78304	0.164369	0.153732	
1.78319	0.164481	0.153714	
1.78312	0.164534	0.153667	
1.78294	0.164436	0.153702	
1.78295	0.164311	0.153739	
1.78305	0.164274	0.153794	
1.78311	0.164365	0.153791	
1.78301	0.164411	0.153767	
1.78298	0.164401	0.153744	
1.78283	0.164504	0.15368	
1.7828	0.164519	0.153654	
1.78275	0.164927	0.153478	
1.78293	0.164818	0.153592	
1.78297	0.164862	0.153548	
1.78313	0.164744	0.153595	
1.78329	0.164227	0.153838	
1.78311	0.164434	0.153712	
1.78327	0.164251	0.153811	
1.78338	0.164323	0.153809	
1.78349	0.164112	0.153931	
1.78341	0.164302	0.15383	
1.78328	0.164445	0.153741	
1.78308	0.164599	0.153672	
1.78326	0.164416	0.153761	
1.78317	0.164954	0.153548	
1.78292	0.165175	0.153447	
1.78301	0.164779	0.153634	
1.78299	0.164735	0.153649	
1.78293	0.164771	0.153629	
1.78291	0.164838	0.153573	
1.78312	0.164781	0.153612	
1.78315	0.164762	0.15361	
1.78315	0.164795	0.153582	
1.78316	0.164576	0.153683	
1.78315	0.164359	0.153781	
1.78299	0.164725	0.153579	
1.78297	0.164543	0.153684	
1.78285	0.164433	0.153681	
1.78314	0.164484	0.153724	
1.78315	0.164502	0.15369	
1.78301	0.164486	0.153671	
1.78312	0.164334	0.153764	
1.78329	0.164255	0.153837	
1.7833	0.164341	0.153788	
1.78305	0.164367	0.153778	
1.78314	0.164416	0.153742	
1.78318	0.164425	0.153743	
1.78313	0.16448	0.153668	
1.78314	0.164469	0.153685	
1.78338	0.164276	0.153811	
1.78321	0.164322	0.153784	
1.78315	0.164374	0.153725	
1.78314	0.164283	0.153776	
1.7832	0.164368	0.153744	
1.78304	0.165032	0.153483	
1.78326	0.164938	0.153589	
1.78335	0.164835	0.153659	
1.7831	0.164681	0.153651	
1.78317	0.164746	0.153587	
1.78311	0.164686	0.1536	
1.78332	0.164567	0.153722	
1.78327	0.164326	0.153777	
1.78316	0.164484	0.15369	
1.78325	0.164394	0.153761	
1.78296	0.164589	0.153623	
1.783	0.16459	0.153645	
1.78313	0.164372	0.15374	
1.78314	0.164446	0.153689	
1.78315	0.164382	0.153746	
1.78335	0.163987	0.153934	
1.78328	0.1641	0.153863	
1.78304	0.164304	0.153741	
1.78307	0.16429	0.153747	
1.78283	0.164566	0.153634	
1.78305	0.164356	0.153738	
1.783	0.164351	0.153714	
1.78301	0.164776	0.153568	
1.78316	0.164447	0.153741	
1.78323	0.164563	0.153692	
1.78307	0.164689	0.153618	
1.7831	0.164637	0.15364	
1.78313	0.164488	0.15372	
1.78298	0.164504	0.15369	
1.78321	0.164276	0.153763	
1.7833	0.164362	0.153763	
1.78345	0.164385	0.153777	
1.78353	0.164257	0.153819	
1.78349	0.16432	0.153828	
1.78344	0.164315	0.153758	
1.78349	0.164367	0.153785	
1.78339	0.164331	0.153793	
1.7833	0.164439	0.153712	
1.78313	0.164472	0.153666	
1.78322	0.164408	0.153719	
1.7832	0.164336	0.153735	
1.78312	0.164318	0.153715	
1.78305	0.164829	0.153527	
1.7831	0.164542	0.153685	
1.78323	0.164616	0.153682	
1.78319	0.164671	0.15362	
1.78334	0.16456	0.153702	
1.78307	0.164637	0.153647	
1.78327	0.164574	0.153694	
1.78341	0.16444	0.153784	
1.78344	0.16441	0.153805	
1.78336	0.164401	0.153736	
1.78322	0.164492	0.153729	
1.78322	0.164477	0.153708	
1.78336	0.164819	0.153614	
1.78332	0.164928	0.153601	
1.78327	0.164959	0.153567	
1.78329	0.164998	0.153541	
1.78312	0.165054	0.153504	
1.78303	0.165039	0.153505	
1.7829	0.165187	0.153444	
1.78311	0.164788	0.153633	
1.78302	0.165078	0.153515	
1.78297	0.164898	0.153571	
1.78295	0.164849	0.153562	
1.78312	0.16473	0.153651	
1.78309	0.164723	0.153623	
1.78323	0.164511	0.153743	
1.78331	0.164486	0.153762	
1.7832	0.164534	0.153724	
1.78329	0.164416	0.153777	
1.78349	0.164408	0.153799	
1.78319	0.16469	0.153638	
1.78328	0.164572	0.153693	
1.78326	0.164473	0.153735	
1.78335	0.164213	0.153811	
1.78357	0.164235	0.153867	
1.7833	0.164537	0.153712	
1.78312	0.164612	0.153668	
1.78303	0.164659	0.15364	
1.7831	0.164604	0.153679	
1.78329	0.164476	0.153765	
1.78295	0.164549	0.153654	
1.78295	0.164433	0.153714	
1.78301	0.164431	0.15375	
1.783	0.164464	0.153717	
1.78298	0.164533	0.153635	
1.78296	0.16452	0.15367	
